TESS Input Catalog identifier,Tess magnitude,Luminosity (in L_sun),Effective Temp. (in K),Radius (in R_sun),Period of Rotation (in days),Rossby Number,Bolometric Energy (in erg units),Relative flare amplitude,Mass (in M_sun)
234333175,12.1354,0.014480415,3153,0.404427,0.515707,0.00515707,1.03E+33,0.10958,0.296502152
234334620,14.1956,0.002177091,2980,0.175551,0.129207,0.00129207,3.71E+32,0.84122,0.143860699
234338669,13.859,0.004314719,3005,0.243044,0.459256,0.00459256,3.24E+32,0.09003,0.186779826
234495456,13.2152,0.004607037,2974,0.256405,0.38061,0.0038061,4.44E+32,0.22928,0.191512023
234497476,13.1658,0.006121211,3049,0.281191,1.040254,0.01040254,1.71E+32,0.09698,0.213452513
234506344,12.0401,0.019279007,3290,0.428596,1.00577,0.0100577,7.27E+32,0.06558,0.330728783
234506911,10.7682,0.048336023,3526,0.590838,4.92012,0.0492012,3.82E+33,0.0577,0.469713624
234523931,13.2341,0.003215073,3127,0.193748,0.568889,0.00568889,2.00E+32,0.52283,0.166942129
234526939,11.1006,0.003830388,3166,0.206299,0.623774,0.00623774,1.11E+32,0.06408,0.178481576
237338543,11.422,0.045968796,3569,0.562388,0.50004,0.0050004,2.02E+33,0.05428,0.460796927
237880881,13.4739,0.005166597,2956,0.274847,0.351883,0.00351883,1.59E+33,0.32419,0.20007699
237883499,14.07,0.006493451,3040,0.291332,0.29475,0.0029475,7.05E+32,0.17651,0.21831664
237883772,13.0906,0.008397947,3142,0.31015,0.425695,0.00425695,8.06E+32,0.08285,0.240834944
237885807,11.4651,0.025778535,3300,0.492605,0.914905,0.00914905,9.14E+32,0.05205,0.369513104
237910557,12.8524,0.010354316,3132,0.346589,0.339576,0.00339576,6.75E+32,0.10628,0.260875072
237918270,13.6821,0.006471368,3165,0.268317,0.317323,0.00317323,4.05E+32,0.07415,0.218032961
237918271,14.3377,0.003613051,2989,0.224793,0.204991,0.00204991,4.20E+32,0.10842,0.17454632
237940278,13.6969,0.008501173,3299,0.283056,1.876747,0.01876747,3.99E+33,0.32341,0.241960558
238176832,10.3236,0.007502257,3245,0.27483,0.528191,0.00528191,1.74E+32,0.03657,0.23068767
238194430,12.544,0.016804282,3242,0.41208,0.700171,0.00700171,5.71E+33,0.80872,0.313833431
238228648,10.9331,0.085750973,3856,0.658026,2.413407,0.02413407,5.00E+33,0.03338,0.584600475
238813187,12.187,0.013217099,3072,0.407027,0.175528,0.00175528,5.26E+32,0.09886,0.286349359
238876720,13.5731,0.006556603,3008,0.299007,0.634025,0.00634025,2.17E+33,0.18541,0.219124612
246861224,12.487,0.01579863,3160,0.420565,4.25835,0.0425835,1.76E+33,0.08975,0.306527889
251823847,13.8672,0.051924962,3498,0.622223,3.272709,0.03272709,1.33E+33,0.08032,0.482731232
251845153,10.4417,0.034428026,3334,0.557728,3.941422,0.03941422,7.63E+33,0.08826,0.412657121
251845156,10.6211,0.030182637,3280,0.539546,4.862623,0.04862623,2.69E+33,0.03881,0.392441094
251846450,12.0114,0.010189925,3034,0.366397,0.521804,0.00521804,5.93E+32,0.06804,0.259286403
251879914,12.9022,0.020895451,3428,0.411,0.885188,0.00885188,4.76E+33,0.16121,0.341050119
259845346,11.2054,0.030638206,3344,0.522994,1.978744,0.01978744,2.35E+33,0.05084,0.394691473
259861569,12.9826,0.004834872,3194,0.22773,0.026732,0.00026732,2.08E+32,0.1237,0.195073064
259928422,15.587,0.001510618,2835,0.161573,0.109599,0.00109599,8.40E+32,0.27427,0.125129961
260127241,12.8532,0.006170094,3069,0.278644,0.254214,0.00254214,3.29E+32,0.13213,0.21410152
260352702,13.5023,0.005187666,3192,0.236188,0.5015,0.005015,8.45E+32,0.17289,0.200388019
260504446,13.3129,0.013752164,3395,0.339941,0.194026,0.00194026,2.57E+33,0.19529,0.29071968
260506296,13.7444,0.012456946,3189,0.366686,1.080392,0.01080392,3.69E+34,2.9633,0.279948204
260655797,14.9849,0.001214664,2857,0.142661,0.278915,0.00278915,3.71E+32,1.07973,0.115137529
260972843,13.2976,0.003619963,3023,0.219975,0.284583,0.00284583,1.14E+33,0.67151,0.174673691
261335869,12.9422,0.012768405,3156,0.379046,0.550139,0.00550139,1.43E+33,0.11267,0.282599395
261560580,12.0826,0.015676009,3236,0.399483,0.831253,0.00831253,1.29E+33,0.05367,0.305617641
261678862,13.5611,0.009405307,2958,0.370329,0.287775,0.00287775,8.29E+32,0.20011,0.25147688
262039241,7.05532,0.052377386,3565,0.601659,4.18794,0.0418794,1.70E+33,0.02725,0.484332291
262110281,12.9978,0.010304335,3190,0.333293,0.866878,0.00866878,9.95E+32,0.20793,0.260393718
262818859,13.4206,0.005197919,3024,0.26342,0.968322,0.00968322,1.18E+33,0.29437,0.200539082
262955872,11.3804,0.046263302,3510,0.583313,0.37128,0.0037128,2.57E+33,0.07126,0.461921482
266903338,12.5076,0.025250356,3310,0.484591,0.005755,5.75E-05,1.16E+33,0.07184,0.366604903
266998480,9.90789,0.064040016,3663,0.630158,1.291095,0.01291095,2.01E+33,0.03174,0.522958156
267094881,13.7495,0.00761764,3199,0.284957,1.389652,0.01389652,1.33E+33,0.32911,0.23203546
269762258,13.0246,0.037068274,3358,0.570476,0.33114,0.0033114,3.77E+33,0.16489,0.424460742
269762999,13.3571,0.018128281,3172,0.447105,2.379666,0.02379666,1.24E+33,0.13101,0.323050521
269797536,12.6829,0.020324651,3217,0.460264,0.807852,0.00807852,1.59E+33,0.1036,0.337463745
269829656,11.6348,0.017870071,3013,0.491997,0.738611,0.00738611,9.05E+32,0.12972,0.321286485
269857351,13.3005,0.010462795,3160,0.342253,0.400483,0.00400483,2.62E+33,0.41385,0.261914882
270038761,11.42,0.014597049,3343,0.361208,0.789995,0.00789995,5.16E+32,0.05308,0.297411423
270101915,12.6562,0.005767024,3157,0.25458,0.580337,0.00580337,1.78E+32,0.08344,0.208651378
270340904,14.4567,0.002419313,2987,0.184193,0.485452,0.00485452,4.06E+32,0.11749,0.149771432
270368906,12.5603,0.007582519,3246,0.276126,0.68696,0.0068696,3.52E+32,0.12887,0.231626554
270474668,13.7721,0.016070543,3389,0.368782,0.446256,0.00446256,1.26E+33,0.17638,0.308530901
270623499,13.0334,0.012344561,3128,0.379404,0.366655,0.00366655,1.55E+33,0.1926,0.278981507
270672809,13.0026,0.002806014,3068,0.188032,0.552435,0.00552435,2.69E+32,0.11938,0.158492349
270676943,11.9147,0.014760449,3217,0.392234,0.741337,0.00741337,2.17E+33,0.24529,0.298677749
271698144,12.6676,0.023026411,3429,0.431197,0.418493,0.00418493,2.61E+33,0.28159,0.353928345
271725679,13.4427,0.015224693,3182,0.407166,1.807819,0.01807819,6.68E+33,0.23939,0.302228958
271900514,11.6977,0.088303549,3839,0.673675,0.910222,0.00910222,6.48E+33,0.0465,0.591182292
271975726,13.0065,0.008781296,3110,0.32371,1.00577,0.0100577,1.12E+33,0.18429,0.244973183
273369281,12.4134,0.001223803,2908,0.138218,0.648855,0.00648855,6.51E+31,0.08455,0.115467403
273416539,11.1681,0.039688032,3459,0.556322,1.65495,0.0165495,1.43E+33,0.04322,0.435669411
273515033,12.2547,0.004463639,3212,0.216367,2.46006,0.0246006,1.25E+32,0.21619,0.189214571
273550461,12.6944,0.011408522,3300,0.327706,0.361917,0.00361917,9.07E+32,0.11805,0.27071002
273550465,14.0967,0.003530906,3082,0.209014,0.361917,0.00361917,8.60E+32,0.17621,0.173020877
273551414,12.7657,0.004849755,3189,0.228796,0.268713,0.00268713,1.60E+32,0.09928,0.195302035
273606451,13.2939,0.008472795,3182,0.303746,3.500855,0.03500855,1.43E+33,0.06225,0.241651959
273853024,11.8539,0.015149078,3340,0.368636,2.167196,0.02167196,5.28E+32,0.05164,0.301655152
277102246,11.4831,0.063311569,3496,0.687854,2.49376,0.0249376,1.63E+33,0.02295,0.520679672
278615421,13.7464,0.002113158,3003,0.170315,0.755371,0.00755371,9.96E+31,0.07053,0.14223337
278658834,13.0983,0.015276892,3259,0.388818,0.938373,0.00938373,2.78E+33,0.18408,0.302624039
278703988,13.3059,0.00482138,3048,0.24972,0.67927,0.0067927,4.64E+32,0.51749,0.194865109
278708134,11.6344,0.030651225,3295,0.538779,2.67712,0.0267712,2.09E+33,0.08944,0.394755479
278901079,13.1211,0.017015455,3351,0.388124,2.024122,0.02024122,2.09E+33,0.16282,0.315332895
279615427,10.2961,0.048840274,4250,0.408798,1.189833,0.01189833,1.26E+33,0.01926,0.471577909
279726713,12.3599,0.00981941,3301,0.303843,1.938576,0.01938576,1.37E+33,0.11795,0.255646716
281461138,13.0153,0.006567099,3036,0.293752,0.651067,0.00651067,5.32E+32,0.2109,0.219258436
281498280,11.8879,0.017720479,3268,0.416458,0.375313,0.00375313,1.66E+33,0.19352,0.320257281
281542064,14.7467,0.000904507,2815,0.126808,0.448385,0.00448385,4.51E+32,4.22322,0.102883309
281670243,11.4104,0.025646468,3305,0.489856,1.784749,0.01784749,1.49E+33,0.07691,0.368789411
281779297,13.1103,0.006338288,3072,0.281865,0.394991,0.00394991,1.79E+32,0.05777,0.216310621
281780792,12.8686,0.005590987,3179,0.247207,1.400342,0.01400342,9.62E+32,0.3654,0.206197128
287148041,13.5178,0.002367474,3029,0.177191,1.21363,0.0121363,1.31E+32,0.08988,0.148538362
287350461,11.5553,0.008588792,3192,0.303905,0.323365,0.00323365,3.83E+32,0.06696,0.242909379
287350462,12.2466,0.004767718,3196,0.22586,0.323365,0.00323365,7.13E+32,0.15604,0.194034443
287438823,13.1282,0.010955465,3330,0.315373,1.733757,0.01733757,2.07E+33,0.17768,0.266555293
289575374,13.0447,0.001351601,2881,0.147991,0.192157,0.00192157,5.54E+31,0.05895,0.119928895
289840926,13.3099,0.005075099,2883,0.286372,0.650377,0.00650377,7.45E+32,0.48019,0.198717125
289840928,12.1558,0.011755745,3051,0.389169,0.650304,0.00650304,7.23E+32,0.15152,0.273825625
290027057,14.4841,0.005660807,3000,0.279315,0.452847,0.00452847,1.03E+33,0.4176,0.207176181
290496318,11.1946,0.034926773,3404,0.538887,0.984024,0.00984024,1.29E+33,0.03182,0.414928669
293164462,12.286,0.008208897,3270,0.283103,0.913935,0.00913935,1.04E+33,0.18107,0.23875107
293507177,10.1154,0.086384443,3788,0.684377,0.56945,0.0056945,3.81E+33,0.0343,0.58624506
293618677,14.1251,0.009310846,3272,0.301138,0.80196,0.0080196,1.56E+33,0.10552,0.250509874
294329266,12.2371,0.024627924,3311,0.478292,0.370315,0.00370315,2.27E+33,0.15524,0.363129036
294667961,13.7249,0.022384933,3302,0.458481,0.490603,0.00490603,5.80E+33,0.07292,0.350132134
294754396,10.7083,0.085288981,3812,0.671488,4.04543,0.0404543,2.79E+33,0.0182,0.583396333
299798795,11.556,0.019393534,3392,0.404403,1.23003,0.0123003,1.22E+33,0.04869,0.331477293
300266322,12.1585,0.032307782,3411,0.516164,1.529785,0.01529785,1.74E+33,0.02658,0.402766269
300866996,12.8447,0.010787786,2980,0.390779,0.354722,0.00354722,1.01E+33,0.15959,0.264990708
300969581,12.4486,0.026240849,3512,0.438811,1.978744,0.01978744,1.41E+33,0.07022,0.372028555
302296434,13.3521,0.005309671,3084,0.255978,0.096678,0.00096678,2.69E+33,0.61813,0.20217387
302298728,12.9537,0.003507835,2988,0.221644,0.173634,0.00173634,2.62E+32,0.0952,0.172588511
302751788,13.4962,0.006634906,3194,0.266775,0.387432,0.00387432,2.31E+32,0.07185,0.220119769
303909762,12.005,0.029460129,3424,0.489156,2.39828,0.0239828,2.04E+33,0.04329,0.388828637
304096841,13.5787,0.013566305,3283,0.361066,0.469036,0.00469036,1.12E+33,0.2812,0.289213727
306826065,13.3729,0.015147387,3384,0.359092,0.743039,0.00743039,5.18E+33,0.35759,0.3016423
306931200,13.2118,0.009053621,3223,0.306047,0.639103,0.00639103,8.66E+32,0.12278,0.247845491
307031724,11.6752,0.088200411,3817,0.681065,1.411197,0.01411197,9.06E+33,0.06117,0.59091865
307290964,11.7821,0.008576066,3322,0.280377,1.517037,0.01517037,4.12E+32,0.33189,0.242771949
307367073,13.6126,0.01993863,3296,0.434281,1.33856,0.0133856,1.12E+33,0.11284,0.335002908
307711716,13.9363,0.025874199,3266,0.503847,3.250794,0.03250794,2.35E+34,0.61632,0.370035888
307783859,13.8726,0.00474072,3235,0.219822,0.583534,0.00583534,3.79E+32,0.13659,0.193614331
308209545,12.0403,0.063220627,3493,0.688541,2.638325,0.02638325,8.11E+33,0.19666,0.520394083
309299238,13.5645,0.012630327,3004,0.416107,0.190722,0.00190722,1.97E+33,0.41532,0.281429044
309617141,12.6968,0.026765554,3247,0.518467,4.92012,0.0492012,1.84E+33,0.11831,0.374850496
309618860,13.385,0.00829093,3264,0.285561,0.563851,0.00563851,1.03E+33,0.07696,0.239658912
309791561,13.7641,0.017189439,3341,0.392442,3.193762,0.03193762,4.70E+33,0.23154,0.316559679
311410850,13.6221,0.009849816,3255,0.312975,1.4681,0.014681,1.35E+33,0.18637,0.255948565
313934186,13.1731,0.087552337,3822,0.676784,4.66781,0.0466781,1.29E+34,0.04351,0.589257648
314825931,13.447,0.013113486,3330,0.345039,0.791498,0.00791498,1.02E+33,0.16221,0.285490489
314864866,12.7684,0.023675695,3365,0.454024,4.04543,0.0404543,1.93E+33,0.21248,0.357704739
316976676,12.0093,0.006554143,3241,0.257512,1.64004,0.0164004,2.72E+32,0.10863,0.21909323
317016534,13.1849,0.007883095,3100,0.30869,0.666829,0.00666829,5.14E+32,0.11741,0.23508901
322051381,13.7448,0.003756732,3013,0.225582,2.503404,0.02503404,4.44E+32,0.6006,0.177163761
325220989,11.8288,0.018763735,3252,0.432769,1.596881,0.01596881,2.73E+33,0.11431,0.327326667
326446019,10.7758,0.023702891,3297,0.473217,0.80218,0.0080218,9.30E+32,0.04242,0.357861507
332507607,13.8354,0.004284883,3050,0.235108,0.087479,0.00087479,5.87E+32,0.13263,0.186285804
332507719,13.6853,0.002977517,2896,0.217384,1.936643,0.01936643,1.09E+32,0.07684,0.162122038
332517282,13.2928,0.004933101,3052,0.251935,0.402336,0.00402336,4.17E+32,0.2249,0.196576352
339607562,13.0011,0.007265238,3044,0.30735,0.444417,0.00444417,6.57E+32,0.18032,0.227878309
339770560,12.5532,0.018585296,3236,0.434976,1.096653,0.01096653,3.16E+33,0.08436,0.326135067
340703767,11.2855,0.029539767,3467,0.477742,2.701958,0.02701958,9.68E+32,0.02691,0.389229484
348839788,9.29995,0.057564236,3797,0.556023,0.544542,0.00544542,5.86E+32,0.01859,0.50210632
348841387,13.9079,0.00615788,3128,0.267966,0.874301,0.00874301,6.41E+32,0.2906,0.213939652
349192028,11.8214,0.062892033,3682,0.618056,2.068687,0.02068687,2.71E+33,0.05408,0.519360058
349273863,13.6256,0.023440726,3229,0.490622,2.116796,0.02116796,4.81E+33,0.21996,0.356345584
350142099,11.6655,0.009119497,3257,0.300779,1.838833,0.01838833,4.37E+32,0.12866,0.248532261
350190949,13.9495,0.008525735,3361,0.273103,2.600635,0.02600635,5.89E+32,0.09526,0.242227151
350215424,13.2016,0.006107253,3019,0.28648,0.522975,0.00522975,4.03E+32,0.15022,0.213266603
350223741,11.6235,0.02120453,3432,0.413064,1.784749,0.01784749,7.96E+32,0.06363,0.342966848
354605348,11.5931,0.063506685,3826,0.575198,0.743039,0.00743039,1.97E+33,0.04384,0.521291552
354606420,11.8718,0.014617332,3325,0.365383,4.66781,0.0466781,1.39E+33,0.07351,0.297569089
355766445,10.799,0.050190158,3524,0.602747,3.715193,0.03715193,1.90E+33,0.03023,0.476510764
355767053,12.1769,0.020474993,3323,0.432961,2.650992,0.02650992,1.82E+33,0.09618,0.338414333
358108300,12.3629,0.03567019,3411,0.542359,2.045443,0.02045443,1.26E+33,0.03582,0.41827764
358108509,14.3672,0.00122817,2818,0.14745,0.42935,0.0042935,6.77E+32,1.34705,0.115624465
358176584,11.231,0.045265095,3670,0.527773,0.90471,0.0090471,1.69E+33,0.04375,0.458091719
358577029,13.0566,0.007841533,3369,0.260673,1.685597,0.01685597,8.05E+32,0.09061,0.234615168
364589441,13.1005,0.014451821,3195,0.393475,0.955536,0.00955536,7.18E+32,0.0698,0.296278547
369603734,13.3004,0.004527686,3051,0.241519,2.092465,0.02092465,1.53E+32,0.07757,0.190246257
373985178,13.866,0.001912155,2980,0.164523,2.638325,0.02638325,2.80E+32,0.17755,0.136909393
375035131,13.4581,0.018003679,3226,0.430774,0.928798,0.00928798,1.71E+33,0.08423,0.322201222
376935746,12.6376,0.002919074,3099,0.187965,0.73852,0.0073852,1.73E+32,0.07627,0.160900035
381977500,14.2431,0.04341504,3312,0.634654,2.170426,0.02170426,2.46E+34,0.32554,0.450853219
382157531,14.0171,0.004889387,3221,0.225187,3.138697,0.03138697,1.39E+33,0.35522,0.19590966
389051009,13.0324,0.001032274,2832,0.133847,0.143229,0.00143229,2.23E+32,0.21834,0.108204912
389568266,12.5384,0.015668191,3373,0.367599,1.4334,0.014334,6.27E+32,0.08076,0.305559456
389727431,11.8197,0.020047071,3397,0.409951,4.233592,0.04233592,1.50E+33,0.08033,0.33569716
391745863,12.9712,0.010402762,3228,0.327043,0.823731,0.00823731,8.51E+32,0.10296,0.261340275
393490554,12.9735,0.010845113,3194,0.341071,0.422377,0.00422377,7.14E+32,0.10947,0.265527297
394230613,13.6875,0.01794012,3179,0.442822,1.077186,0.01077186,7.78E+32,0.06302,0.321766592
394230953,13.9923,0.009681354,3096,0.342976,0.513367,0.00513367,1.46E+33,0.34627,0.254268849
394275759,12.0629,0.040006073,3433,0.567039,0.933711,0.00933711,2.08E+33,0.04253,0.43699866
394680557,13.1406,0.009432518,3285,0.300705,3.309899,0.03309899,2.92E+33,0.33229,0.251754328
396722785,13.4338,0.019423631,3320,0.422461,1.492168,0.01492168,2.78E+33,0.07915,0.331673545
399570848,12.8436,0.008787764,3269,0.293094,0.545043,0.00545043,7.00E+32,0.0721,0.245042033
401838575,14.0274,0.002490348,2840,0.206724,0.314956,0.00314956,2.50E+33,1.07371,0.151434888
402317982,11.9778,0.012046528,3200,0.35812,0.300403,0.00300403,9.90E+32,0.07258,0.276391305
402319281,10.3052,0.070757666,3723,0.641207,0.309838,0.00309838,3.39E+33,0.04404,0.543252936
402341182,14.2299,0.001470552,2913,0.150993,0.290342,0.00290342,2.55E+32,0.57794,0.123852701
403237836,10.5282,0.053368714,3530,0.619429,0.426865,0.00426865,2.66E+33,0.04244,0.487810797
409141581,10.8935,0.078016898,3900,0.613568,2.71708,0.0271708,3.88E+33,0.03912,0.5638857
410153553,11.9238,0.002595365,3004,0.188624,0.462555,0.00462555,4.58E+31,0.02314,0.153841207
410213494,12.6627,0.011582185,3157,0.360781,0.443977,0.00443977,3.12E+32,0.08296,0.272275502
410421717,11.8325,0.020138967,3258,0.446698,0.984024,0.00984024,1.85E+33,0.08575,0.336283669
419667825,12.0009,0.030186431,3508,0.47172,4.940986,0.04940986,1.05E+33,0.06036,0.392459922
421951793,12.4259,0.016574276,3412,0.369485,1.28881,0.0128881,1.08E+33,0.11132,0.312186918
425933644,11.3983,0.026086602,3264,0.506531,0.486121,0.00486121,1.62E+33,0.08052,0.371192362
425937691,13.1772,0.006385874,2877,0.322573,0.200665,0.00200665,7.53E+32,0.37846,0.216929024
425938795,12.138,0.013702344,3310,0.356976,2.092465,0.02092465,9.49E+32,0.12663,0.290317242
431479577,13.5511,0.008920006,3147,0.31863,0.596867,0.00596867,6.86E+32,0.15532,0.246442979
434097152,12.4577,0.013264462,3205,0.374616,4.907685,0.04907685,5.67E+32,0.06628,0.286740576
434105094,13.6343,0.001991915,2839,0.185013,4.970497,0.04970497,2.06E+32,0.34591,0.139061593
441051650,10.8206,0.014210357,3326,0.360044,3.500855,0.03500855,4.58E+32,0.0504,0.294379273
441461724,12.6525,0.025418193,3357,0.47268,3.715193,0.03715193,8.44E+32,0.06045,0.367533068
